GEO_ID,DP03_0009PE!!Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,DP03_0009PM!!Percent Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
0500000US39001,9.9,2
0500000US39003,7.6,0.8
0500000US39005,5.7,1
0500000US39007,8.1,0.9
0500000US39009,9.4,1.1
0500000US39011,4,0.8
0500000US39013,7.8,1.1
0500000US39015,8,1.4
0500000US39017,6.1,0.4
0500000US39019,6.7,1.6
0500000US39021,7.2,1.4
0500000US39023,8.9,0.8
0500000US39025,5,0.5
0500000US39027,6.6,1.1
0500000US39029,8.4,0.9
0500000US39031,6.4,1.1
0500000US39033,7.7,1.3
0500000US39035,9.7,0.3
0500000US39037,6.1,0.9
0500000US39039,6.8,1.1
0500000US39041,2.7,0.3
0500000US39043,7.7,0.8
0500000US39045,6,0.7
0500000US39047,6.9,1.4
0500000US39049,6.3,0.3
0500000US39051,6.2,1
0500000US39053,7.2,1.5
0500000US39055,4,0.5
0500000US39057,6.5,0.6
0500000US39059,9.3,1.2
0500000US39061,7.9,0.3
0500000US39063,5.5,1
0500000US39065,8.2,1.8
0500000US39067,4.6,1.3
0500000US39069,5.3,1.1
0500000US39071,9.6,1.4
0500000US39073,9.1,1.6
0500000US39075,3.4,1.1
0500000US39077,6.7,0.9
0500000US39079,11.2,2.1
0500000US39081,8.3,1.1
0500000US39083,6.1,0.9
0500000US39085,5.3,0.5
0500000US39087,7.6,1.2
0500000US39089,6.6,0.6
0500000US39091,5.9,0.9
0500000US39093,8.2,0.5
0500000US39095,9.6,0.4
0500000US39097,6.4,1.1
0500000US39099,8.9,0.5
0500000US39101,8,1
0500000US39103,4.1,0.4
0500000US39105,11.2,1.7
0500000US39107,4.7,1
0500000US39109,6.4,0.9
0500000US39111,6.5,1.4
0500000US39113,8.7,0.4
0500000US39115,8.4,2.4
0500000US39117,5.4,1.5
0500000US39119,7.6,0.9
0500000US39121,6.9,2.6
0500000US39123,5.3,0.8
0500000US39125,6.1,1.1
0500000US39127,9.6,1.7
0500000US39129,6,1.2
0500000US39131,11.1,2.5
0500000US39133,7.9,0.7
0500000US39135,6.6,1.1
0500000US39137,2.9,0.7
0500000US39139,8.3,0.9
0500000US39141,9.9,1.5
0500000US39143,6.3,0.8
0500000US39145,9,1
0500000US39147,6.8,1
0500000US39149,5.8,1.2
0500000US39151,7.6,0.5
0500000US39153,7.3,0.4
0500000US39155,6.9,0.6
0500000US39157,5.7,0.6
0500000US39159,3.7,0.7
0500000US39161,5.8,0.9
0500000US39163,10.7,2.5
0500000US39165,5,0.6
0500000US39167,4.7,0.8
0500000US39169,4.3,0.6
0500000US39171,5.8,1
0500000US39173,6.3,0.6
0500000US39175,5.5,1.2
