GEO_ID,DP05_0001E!!Estimate!!SEX AND AGE!!Total population,DP05_0072PE!!Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,DP05_0072PM!!Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone
0500000US39001,28111,96.7,0.1
0500000US39003,104664,81.5,0.1
0500000US39005,53343,96.1,0.1
0500000US39007,99175,90,0.1
0500000US39009,65103,89.9,0.1
0500000US39011,45871,96.2,0.2
0500000US39013,69228,93.1,0.1
0500000US39015,44059,96.7,0.1
0500000US39017,373638,82.7,0.1
0500000US39019,28108,96.5,0.1
0500000US39021,39175,93.5,0.1
0500000US39023,136175,84.6,0.1
0500000US39025,201092,94.1,0.1
0500000US39027,41854,93.5,0.1
0500000US39029,105230,94.4,0.1
0500000US39031,36665,96.2,0.1
0500000US39033,42485,95.9,0.1
0500000US39035,1258710,60,0.1
0500000US39037,52185,96.5,0.1
0500000US39039,38488,87,0.1
0500000US39041,188996,86.8,0.1
0500000US39043,75808,83.9,0.2
0500000US39045,150163,87.7,0.1
0500000US39047,28719,93.1,0.1
0500000US39049,1232118,65.1,0.1
0500000US39051,42466,89.7,0.1
0500000US39053,30376,93.8,0.1
0500000US39055,94020,95.8,0.1
0500000US39057,164325,84.4,0.1
0500000US39059,39478,95,0.1
0500000US39061,805965,66.4,0.1
0500000US39063,75672,89.9,0.1
0500000US39065,31652,95.4,0.1
0500000US39067,15521,95.2,0.1
0500000US39069,27890,90.5,0.1
0500000US39071,43109,95.6,0.1
0500000US39073,28690,96.7,0.1
0500000US39075,43702,98,0.1
0500000US39077,58704,90.8,0.1
0500000US39079,32717,96.2,0.1
0500000US39081,67607,90.6,0.1
0500000US39083,60878,95.6,0.1
0500000US39085,229266,89.5,0.1
0500000US39087,61503,95,0.1
0500000US39089,169762,91.4,0.1
0500000US39091,45388,93.9,0.1
0500000US39093,304091,79.2,0.1
0500000US39095,434800,69.7,0.1
0500000US39097,43537,89.2,0.1
0500000US39099,233015,76.7,0.1
0500000US39101,65620,88.9,0.1
0500000US39103,175543,94.3,0.1
0500000US39105,23345,96.9,0.1
0500000US39107,40886,95.9,0.2
0500000US39109,103864,93,0.1
0500000US39111,14442,97.5,0.2
0500000US39113,532761,71.7,0.1
0500000US39115,14857,92.5,0.1
0500000US39117,35032,96.2,0.1
0500000US39119,85991,91.9,0.1
0500000US39121,14429,91.4,1.2
0500000US39123,40981,92.6,0.2
0500000US39125,19057,92.6,0.4
0500000US39127,35947,97,0.1
0500000US39129,56804,93.1,0.1
0500000US39131,28298,95.5,0.1
0500000US39133,161796,90.3,0.1
0500000US39135,41561,96.7,0.1
0500000US39137,34116,92.8,0.1
0500000US39139,121888,86,0.1
0500000US39141,77193,89.9,0.1
0500000US39143,59870,85.2,0.1
0500000US39145,77366,93.5,0.1
0500000US39147,55711,90.5,0.1
0500000US39149,48949,93.4,0.1
0500000US39151,374762,87,0.1
0500000US39153,541372,78.2,0.1
0500000US39155,204908,87.5,0.1
0500000US39157,92579,95.2,0.1
0500000US39159,53955,90.9,0.4
0500000US39161,28501,94.5,0.1
0500000US39163,13128,96.9,0.2
0500000US39165,222184,87.5,0.2
0500000US39167,61154,95.4,0.1
0500000US39169,115747,94,0.1
0500000US39171,37270,93.3,0.1
0500000US39173,129418,88.8,0.1
0500000US39175,22359,95.5,0.1
